skincarer_ingred_id,skincarisma_ingred_id,ewg_ingred_id,ingred_name,common_name,remark,ewg,cir,data_availability,comedogenic_rating,sensitive_skin_bad,sensitive_skin_good,dry_skin_bad,dry_skin_good,oily_skin_bad,oily_skin_good,harmful_sub_alcohol,harmful_sub_allergens,harmful_sub_paraben,harmful_sub_sulfate,harmful_sub_silicone,harmful_sub_fungal_acen_trigger,effect_uv_protection,effect_promotes_wound_healing,effect_acne_fighting,effect_brightening,effect_anti_aging,concerns_cancer,concerns_dev_rep,concerns_allergies,concerns_use_res,concerns_endo,concerns_neuro,concerns_organ,concerns_biochem,concerns_bioacc,concerns_eco,concerns_irr,concerns_occup,concerns_abs,concerns_contam,concerns_multi,join_helper
716675,370,716675,Amp-Acrylates Copolymer,Amp-Acrylates Copolymer,Film Forming,2,B,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,moderate,null,null,null,null,null,null,null,null,null,null,null,ampacrylatescopolymer
716676,371,716676,Amp-Acrylates/Allyl Methacrylate Copolymer,Amp-Acrylates/Allyl Methacrylate Copolymer,Film Forming<br/>Hair Fixing,2,NA,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,moderate,null,null,null,null,null,null,null,null,null,null,null,ampacrylatesallylmethacrylatecopolymer
372,372,NA,Amp-Acrylates/C1-18 Alkyl Acrylate/C1-8 Alkyl Acrylamide/Hydroxyethylacrylate Copolymer,Amp-Acrylates/C1-18 Alkyl Acrylate/C1-8 Alkyl Acrylamide/Hydroxyethylacrylate Copolymer,Hair Waving Or Straightening,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ampacrylatesc118alkylacrylatec18alkylacrylamidehydroxyethylacrylatecopolymer
373,373,NA,Ampelopsis Japonica Root Extract,Ampelopsis Japonica Root Extract,Skin Conditioning,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ampelopsisjaponicarootextract
374,374,NA,Ampelopsis Japonica Root Powder,Ampelopsis Japonica Root Powder,Abrasive<br/>Masking<br/>Skin Protecting,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ampelopsisjaponicarootpowder
700397,375,700397,Amyl Acetate,Amyl Acetate,Fragrance<br/>Solvent<br/>Masking,1,NA,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,high,null,null,null,null,amylacetate
377,377,NA,Amyl Salicylate,Amyl Salicylate,Perfuming<br/>Skin Conditioning,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,amylsalicylate
378,378,NA,Amylase,Amylase,Lytic Agent<br/>Skin Conditioning,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,amylase
700399,379,700399,Amyl Cinnamyl Alcohol,Amylcinnamyl Alcohol,Perfuming,3,NA,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,high,null,null,null,null,null,null,null,null,null,null,null,null,amylcinnamylalcohol
700399,379,700399,Amyl Cinnamyl Alcohol,Amyl Cinnamyl Alcohol,Perfuming,3,NA,Limited,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,high,null,null,null,null,null,null,null,null,null,null,null,null,amylcinnamylalcohol
380,380,NA,Amylodextrin,Amylodextrin,Absorbent<br/>Bulking Agent,1,A,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,amylodextrin
700402,381,700402,Amylopectin,Amylopectin,Binding Agent<br/>Viscosity Increasing Agent<br/>Binding<br/>Viscosity Controlling,1,A,Fair,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,amylopectin
382,382,NA,Amyris Balsamifera Bark Oil,Amyris Balsamifera Bark Oil,Masking<br/>Perfuming,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,amyrisbalsamiferabarkoil
383,383,NA,Anacardium Occidentale,Anacardium Occidentale,"Cashew Seed Oil
        
",1,A,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anacardiumoccidentale
384,384,NA,Ananas Sativus,Ananas Sativus,"Pineapple Fruit Extract
        
",1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ananassativus
385,385,NA,Anastatica Hierochuntica Extract,Anastatica Hierochuntica Extract,Astringent<br/>Skin Conditioning,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anastaticahierochunticaextract
386,386,NA,Andrographis Paniculata Extract,Andrographis Paniculata Extract,Astringent<br/>Skin Conditioning,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,andrographispaniculataextract
